"site","tree","imp","hd"
"S02-CPR1",0.00914948453608247,0.828865979381443,704.491998701741
"S02-MCP1",0.0402520045819015,0.73561282932417,1861.70990745792
"S02-PIP1",0.0262966150315548,0.768387837062536,1326.46426397563
"S02-PLP1",0.0159587274290628,0.817004872456291,2514.42481852029
"S02-TNE1",0.0169750787739903,0.308541965052993,1119.35591341722
"S02-TNW1",0.0202175780131692,0.374377326080733,1560.10837195273
"S03-ARP1",0.0261516369902355,0.741866743251005,1545.54606605212
"S03-JKP1",0.065219260533104,0.373737460590427,1037.1597867875
"S03-JKP2",0.0536848137535817,0.304744985673352,1196.0507244855
"S03-LCP1",0.0336590257879656,0.672289398280802,867.913431565542
"S03-PSP1",0.0302607449856734,0.693767908309456,1980.14999543445
"S03-VIP1",0.0313220533409808,0.687533696587324,1351.70559420075
"S03-WAP1",0.017153868113046,0.823602626320297,1037.48339358644
"S04-HAP1",0.0319484240687679,0.685332378223496,1959.43916037634
"S04-OTW1",0.237685902957221,0.366368073499856,1013.8600973509
"S04-SSP1",0.0715530085959885,0.547616045845272,821.637659487247
"S04-VFP1",0.0271935853379152,0.692958190148912,1519.98112903173
"S04-WEP1",0.03,0.62857962697274,1866.5640094201
"S05-LNC1",0.154788208357184,0.40819118488838,985.05909235096
"S05-RES1",0.0690243204577969,0.462666666666667,362.116006681814
"S05-SFP0",0.0805377308572182,0.400098226808058,242.219688116072
"S05-SFP3",0.0873209169054441,0.42721776504298,98.7000733136386
"S06-CBW1",0.44521502293578,0.0966771788990826,236.880175953276
"S06-CBW2",0.392744199369808,0.137109710684618,267.62282173926
"S07-ARG1",0.469493272258803,0.124425994846837,79.2836654486687
"S07-ARG2",0.296257510729614,0.274260371959943,8.73738353924977
"S07-SAG1",0.302953634802519,0.246863194046938,11.6498447189995
"S07-STJ1",0.41304958440814,0.158956721123531,1.94164078649981
"S07-WGL0",0.32521112637428,0.202620394327876,112.938772414746
"S08-WGL1",0.422580829756795,0.124151645207439,76.3712042690879
"S08-WGL2",0.457310443490701,0.0597882689556509,32.037072977249
"S09-ILC1",0.1850443490701,0.190989985693848,19.4164078650215
"S09-KTP1",0.368350515463918,0.108926116838488,16.8275534830204
"S09-SMC1",0.138323782234957,0.331957020057307,391.240618479274
"S09-VTW0",0.115404949310135,0.464679720930386,76.3712042690472
"S10-ILC1",0.146487106017192,0.148650429799427,80.5780926397556
"S10-LEW1",0.183939220183486,0.148494839449541,27.5065778087504
"S10-LPC1",0.143610792192882,0.386254305396096,769.860571847262
"S10-LPP0",0.201038889450827,0.0808163487482496,94.1695781452516
