"SurveyID","PictureDate","canids","mammals"
"D02-MOP1-SP13",2013-05-07,5,5
"D02-MOP1-SP13",2013-05-08,0,0
"D02-MOP1-SU11",2011-07-12,0,0
"D02-MOP1-SU11",2011-07-13,3,3
"D02-MOP1-SU11",2011-07-14,0,0
"D02-MOP1-SU11",2011-07-15,0,0
"D02-MOP1-SU11",2011-07-16,0,0
"D02-MOP1-SU11",2011-07-26,0,0
"D02-MOP1-SU12",2012-07-25,0,0
"D02-MOP1-SU12",2012-07-26,3,3
"D02-MOP1-SU12",2012-07-27,3,3
"D02-MOP1-SU12",2012-07-28,15,15
"D02-MOP1-SU12",2012-07-29,12,12
"D02-MOP1-SU12",2012-07-30,9,9
"D02-MOP1-SU12",2012-07-31,9,9
"D02-MOP1-SU12",2012-08-01,13,13
"D02-MOP1-SU12",2012-08-02,17,17
"D02-MOP1-SU12",2012-08-03,8,8
"D02-MOP1-SU12",2012-08-04,8,8
"D02-MOP1-SU12",2012-08-05,16,16
"D02-MOP1-SU12",2012-08-06,17,17
"D02-MOP1-SU12",2012-08-07,9,9
"D02-MOP1-SU12",2012-08-08,5,5
"D02-MOP1-WI11",2011-01-26,3,3
"D02-MOP1-WI11",2011-01-27,3,3
"D02-MOP1-WI11",2011-02-13,1,1
"D02-MOP1-WI11",2011-02-14,1,1
"D02-MOP1-WI11",2011-02-18,1,1
"D02-MOP1-WI11",2011-02-19,1,1
"D02-MOP1-WI11",2011-02-20,0,0
"D02-MOP1-WI11",2011-02-22,1,1
"D02-MOP1-WI11",2011-02-23,0,0
"D02-MOP1-WI11",2011-02-24,0,1
"D02-MOP1-WI11",2011-02-25,0,0
"D02-MOP1-WI12",2012-01-24,0,0
"D02-MOP1-WI12",2012-01-25,0,0
"D02-MOP1-WI12",2012-02-07,0,0
"D02-MOP1-WI13",2013-01-15,0,0
"D02-MOP1-WI13",2013-01-30,0,0
"D02-MOP1-WI13",2013-01-31,1,1
"D02-RCP1-FA10",2010-10-13,7,7
"D02-RCP1-FA10",2010-10-14,5,14
"D02-RCP1-FA10",2010-10-15,0,6
"D02-RCP1-FA10",2010-10-16,0,1
"D02-RCP1-FA10",2010-10-17,3,18
"D02-RCP1-FA10",2010-10-18,2,10
"D02-RCP1-FA10",2010-10-19,0,7
"D02-RCP1-FA10",2010-10-21,0,5
"D02-RCP1-FA10",2010-10-22,0,3
"D02-RCP1-FA10",2010-10-23,0,2
"D02-RCP1-FA10",2010-10-24,1,5
"D02-RCP1-FA10",2010-10-25,1,13
"D02-RCP1-FA10",2010-10-26,0,4
"D02-RCP1-FA10",2010-10-27,0,1
"D02-RCP1-FA10",2010-10-28,0,2
"D02-RCP1-FA10",2010-10-29,0,7
"D02-RCP1-FA10",2010-10-30,0,3
"D02-RCP1-FA10",2010-10-31,0,8
"D02-RCP1-FA10",2010-11-01,0,2
"D02-RCP1-FA10",2010-11-02,0,6
"D02-RCP1-FA10",2010-11-03,0,3
"D02-RCP1-FA10",2010-11-04,0,2
"D02-RCP1-FA10",2010-11-05,1,7
"D02-RCP1-FA10",2010-11-06,0,6
"D02-RCP1-FA10",2010-11-07,0,3
"D02-RCP1-FA10",2010-11-08,0,0
"D02-RCP1-FA11",2011-10-07,2,9
"D02-RCP1-FA11",2011-10-08,0,1
"D02-RCP1-FA11",2011-10-09,0,2
"D02-RCP1-FA11",2011-10-10,2,17
"D02-RCP1-FA11",2011-10-11,1,1
"D02-RCP1-FA11",2011-10-12,10,14
"D02-RCP1-FA11",2011-10-13,0,8
"D02-RCP1-FA11",2011-10-14,0,23
"D02-RCP1-FA11",2011-10-15,0,7
"D02-RCP1-FA11",2011-10-16,0,9
"D02-RCP1-FA11",2011-10-17,0,7
"D02-RCP1-FA11",2011-10-18,0,4
"D02-RCP1-FA11",2011-10-19,1,4
"D02-RCP1-FA11",2011-10-20,0,11
"D02-RCP1-FA11",2011-10-21,0,14
"D02-RCP1-FA11",2011-10-22,0,14
"D02-RCP1-FA11",2011-10-23,0,5
"D02-RCP1-FA11",2011-10-24,0,9
"D02-RCP1-FA11",2011-10-25,0,9
"D02-RCP1-FA11",2011-10-26,0,10
"D02-RCP1-FA11",2011-10-27,0,11
"D02-RCP1-FA11",2011-10-28,0,10
"D02-RCP1-FA11",2011-10-29,0,7
"D02-RCP1-FA11",2011-10-30,0,0
"D02-RCP1-FA11",2011-10-31,0,19
"D02-RCP1-FA11",2011-11-01,0,10
"D02-RCP1-FA11",2011-11-02,0,6
"D02-RCP1-FA11",2011-11-03,0,2
"D02-RCP1-FA11",2011-11-04,0,13
"D02-RCP1-FA11",2011-11-05,0,7
